id,adcode,country,province,city,district,city_sname,lat,lng,UnrealX,UnrealY,
1,310114,中国,上海市,上海市,嘉定区,,31.37482,121.26621,,,
2,310120,中国,上海市,上海市,奉贤区,,30.91803,121.4741,,,
3,310113,中国,上海市,上海市,宝山区,,31.40527,121.48941,,,
4,310230,中国,上海市,上海市,崇明县,,31.6229,121.3973,,,
5,310104,中国,上海市,上海市,徐汇区,,31.18826,121.43687,,,
6,310107,中国,上海市,上海市,普陀区,,31.2494,121.397,,,
7,310110,中国,上海市,上海市,杨浦区,,31.25956,121.52609,,,
8,310117,中国,上海市,上海市,松江区,,31.03241,121.22654,,,
9,310115,中国,上海市,上海市,浦东新区,,31.22114,121.54409,,,
10,310109,中国,上海市,上海市,虹口区,,31.26451,121.50515,,,
11,310116,中国,上海市,上海市,金山区,,30.74185,121.34242,,,
12,310105,中国,上海市,上海市,长宁区,,31.22024,121.42394,,,
13,310112,中国,上海市,上海市,闵行区,,31.11325,121.38206,,,
14,310118,中国,上海市,上海市,青浦区,,31.14979,121.12426,,,
15,310106,中国,上海市,上海市,静安区,,31.22352,121.45591,,,
16,310101,中国,上海市,上海市,黄浦区,,31.23162,121.48461,,,
17,530000,中国,云南省,,,,25.051562267344867,102.71641607523223,,,
18,530900,中国,云南省,临沧市,,临沧,23.89516,100.08233,-46130,125890,
19,530902,中国,云南省,临沧市,临翔区,,23.89516,100.08233,,,
20,530922,中国,云南省,临沧市,云县,,24.4446,100.13111,,,
21,530921,中国,云南省,临沧市,凤庆县,,24.58038,99.92841,,,
22,530925,中国,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,,23.4736,99.82768,,,
23,530923,中国,云南省,临沧市,永德县,,24.01828,99.25929,,,
24,530927,中国,云南省,临沧市,沧源佤族自治县,,23.14681,99.24583,,,
25,530926,中国,云南省,临沧市,耿马傣族佤族自治县,,23.53786,99.39767,,,
26,530924,中国,云南省,临沧市,镇康县,,23.7631,98.82543,,,
27,530700,中国,云南省,丽江市,,丽江,26.8,100.2666,-42320,94290,
28,530723,中国,云南省,丽江市,华坪县,,26.62921,101.2663,,,
29,530702,中国,云南省,丽江市,古城区,,26.87721,100.22549,,,
30,530724,中国,云南省,丽江市,宁蒗彝族自治县,,27.28196,100.85198,,,
31,530722,中国,云南省,丽江市,永胜县,,26.68431,100.75086,,,
32,530721,中国,云南省,丽江市,玉龙纳西族自治县,,26.82152,100.23695,,,
33,530500,中国,云南省,保山市,,保山,25.12107,99.16579,-53740,111890,
34,530521,中国,云南省,保山市,施甸县,,24.72308,99.18902,,,
35,530524,中国,云南省,保山市,昌宁县,,24.82745,99.60567,,,
36,530522,中国,云南省,保山市,腾冲县,,25.02053,98.49097,,,
37,530502,中国,云南省,保山市,隆阳区,,25.12107,99.16579,,,
38,530523,中国,云南省,保山市,龙陵县,,24.58682,98.68927,,,
39,532900,中国,云南省,大理白族自治州,,大理,25.7,100.18,-42310,107370,
40,532929,中国,云南省,大理白族自治州,云龙县,,25.88573,99.37096,,,
41,532931,中国,云南省,大理白族自治州,剑川县,,26.53692,99.9055,,,
42,532926,中国,云南省,大理白族自治州,南涧彝族自治县,,25.04282,100.50974,,,
43,532901,中国,云南省,大理白族自治州,大理市,,25.59158,100.22976,,,
44,532924,中国,云南省,大理白族自治州,宾川县,,25.827,100.57265,,,
45,532927,中国,云南省,大理白族自治州,巍山彝族回族自治县,,25.22714,100.30711,,,
46,532925,中国,云南省,大理白族自治州,弥渡县,,25.34365,100.49131,,,
47,532928,中国,云南省,大理白族自治州,永平县,,25.46454,99.54098,,,
48,532930,中国,云南省,大理白族自治州,洱源县,,26.11113,99.95088,,,
49,532922,中国,云南省,大理白族自治州,漾濞彝族自治县,,25.66992,99.95814,,,
50,532923,中国,云南省,大理白族自治州,祥云县,,25.48381,100.55059,,,
51,532932,中国,云南省,大理白族自治州,鹤庆县,,26.56013,100.17644,,,
52,533100,中国,云南省,德宏傣族景颇族自治州,,德宏,24.43232,98.58486,-59780,118780,
53,533122,中国,云南省,德宏傣族景颇族自治州,梁河县,,24.80435,98.2967,,,
54,533102,中国,云南省,德宏傣族景颇族自治州,瑞丽市,,24.01278,97.85189,,,
55,533123,中国,云南省,德宏傣族景颇族自治州,盈江县,,24.70519,97.93184,,,
56,533103,中国,云南省,德宏傣族景颇族自治州,芒市,,24.43379,98.58815,,,
57,533124,中国,云南省,德宏傣族景颇族自治州,陇川县,,24.18305,97.79203,,,
58,533300,中国,云南省,怒江傈僳族自治州,,怒江,25.81763,98.8567,-55980,104490,
59,533325,中国,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,,26.45353,99.41671,,,
60,533321,中国,云南省,怒江傈僳族自治州,泸水县,,25.82306,98.85804,,,
61,533323,中国,云南省,怒江傈僳族自治州,福贡县,,26.90185,98.86905,,,
62,533324,中国,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,,27.74104,98.66579,,,
63,532600,中国,云南省,文山壮族苗族自治州,,文山,23.3724,104.2497,-6850,134100,
64,532626,中国,云南省,文山壮族苗族自治州,丘北县,,24.04186,104.19581,,,
65,532628,中国,云南省,文山壮族苗族自治州,富宁县,,23.62539,105.63053,,,
66,532627,中国,云南省,文山壮族苗族自治州,广南县,,24.04645,105.05516,,,
67,532621,中国,云南省,文山壮族苗族自治州,文山市,,23.38678,104.233,,,
68,532622,中国,云南省,文山壮族苗族自治州,砚山县,,23.60586,104.33709,,,
69,532623,中国,云南省,文山壮族苗族自治州,西畴县,,23.43712,104.6722,,,
70,532625,中国,云南省,文山壮族苗族自治州,马关县,,23.01298,104.39387,,,
71,532624,中国,云南省,文山壮族苗族自治州,麻栗坡县,,23.12525,104.70252,,,
72,530100,中国,云南省,昆明市,,昆明,25.07,102.68,-19510,117390,
73,530113,中国,云南省,昆明市,东川区,,26.08294,103.18773,,,
74,530102,中国,云南省,昆明市,五华区,,25.04347,102.70737,,,
75,530121,中国,云南省,昆明市,呈贡县,,24.88554,102.82147,,,
76,530181,中国,云南省,昆明市,安宁市,,24.91954,102.478,,,
77,530111,中国,云南省,昆明市,官渡区,,25.01503,102.7437,,,
78,530125,中国,云南省,昆明市,宜良县,,24.92005,103.14119,,,
79,530124,中国,云南省,昆明市,富民县,,25.22199,102.49767,,,
80,530129,中国,云南省,昆明市,寻甸回族彝族自治县,,25.55818,103.25668,,,
81,530127,中国,云南省,昆明市,嵩明县,,25.33872,103.03687,,,
82,530122,中国,云南省,昆明市,晋宁县,,24.66982,102.59559,,,
83,530103,中国,云南省,昆明市,盘龙区,,25.11624,102.75205,,,
84,530126,中国,云南省,昆明市,石林彝族自治县,,24.77082,103.2889,,,
85,530128,中国,云南省,昆明市,禄劝彝族苗族自治县,,25.55128,102.47145,,,
86,530112,中国,云南省,昆明市,西山区,,25.03845,102.66481,,,
87,530600,中国,云南省,昭通市,,昭通,27.32027,103.70594,-9340,92500,
88,530624,中国,云南省,昭通市,大关县,,27.74806,103.89111,,,
89,530629,中国,云南省,昭通市,威信县,,27.84685,105.04906,,,
90,530622,中国,云南省,昭通市,巧家县,,26.90861,102.93006,,,
91,530628,中国,云南省,昭通市,彝良县,,27.62551,104.04805,,,
92,530602,中国,云南省,昭通市,昭阳区,,27.32027,103.70594,,,
93,530630,中国,云南省,昭通市,水富县,,28.63002,104.41562,,,
