province_en,pop_18_m,province_cn
Beijing,21540000,北京
Tianjin,15600000,天津
Hebei,75560000,河北
Shanxi,37180000,山西
Inner Mongolia,25340000,内蒙古
Liaoning,43590000,辽宁
Jilin,27040000,吉林
Heilongjiang,37730000,黑龙江
Shanghai,24240000,上海
Jiangsu,80510000,江苏
Zhejiang,57370000,浙江
Anhui,63240000,安徽
Fujian,39410000,福建
Jiangxi,46480000,江西
Shandong,100470000,山东
Henan,96050000,河南
Hubei,59170000,湖北
Hunan,68990000,湖南
Guangdong,113460000,广东
Guangxi,49260000,广西
Hainan,9340000,海南
Chongqing,31020000,重庆
Sichuan,83410000,四川
Guizhou,36000000,贵州
Yunnan,48300000,云南
Tibet,3440000,西藏
Shaanxi,38640000,陕西
Gansu,26370000,甘肃
Qinghai,6030000,青海
Ningxia,6880000,宁夏
Xinjiang,24870000,新疆
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
