,province_en,pop_18_m,province_cn,province,beds_hospital
0,Shanghai,24240000,上海,Shanghai,120625.0
1,Yunnan,48300000,云南,Yunnan,144162.0
2,Inner Mongolia,25340000,内蒙古自治区,Inner Mongolia,110664.0
3,Beijing,21540000,北京,Beijing,104644.0
4,Jilin,27040000,吉林,Jilin,125175.0
5,Sichuan,83410000,四川,Sichuan,436969.0
6,Tianjin,15600000,天津,Tianjin,62495.0
7,Ningxia,6880000,宁夏回族自治区,Ningxia,33804.0
8,Anhui,63240000,安徽,Anhui,254656.0
9,Shandong,100470000,山东,Shandong,481205.0
10,Shanxi,37180000,山西,Shanxi,175695.0
11,Guangdong,113460000,广东,Guangdong,398637.0
12,Guangxi,49260000,广西壮族自治区,Guangxi,202882.0
13,Xinjiang,24870000,新疆维吾尔自治区,Xinjiang,27088.0
14,Jiangsu,80510000,江苏,Jiangsu,384931.0
15,Jiangxi,46480000,江西,Jiangxi,183760.0
16,Hebei,75560000,河北,Hebei,319682.0
17,Henan,96050000,河南,Henan,450561.0
18,Zhejiang,57370000,浙江,Zhejiang,261571.0
19,Hainan,9340000,海南,Hainan,21226.0
20,Hubei,59170000,湖北,Hubei,281853.0
21,Hunan,68990000,湖南,Hunan,347077.0
22,Gansu,26370000,甘肃,Gansu,108081.0
23,Fujian,39410000,福建,Fujian,165959.0
24,Tibet,3440000,西藏自治区,Tibet,3233.0
25,Guizhou,36000000,贵州,Guizhou,138732.0
26,Liaoning,43590000,辽宁,Liaoning,255077.0
27,Chongqing,31020000,重庆,Chongqing,164368.0
28,Shaanxi,38640000,陕西,Shaanxi,198881.0
29,Qinghai,6030000,青海,Qinghai,23063.0
30,Heilongjiang,37730000,黑龙江,Heilongjiang,206458.0
