,index,Country/Region,time,confirmed,recover,death
0,680,Mainland China,2020-01-22,547,17,28
1,681,Mainland China,2020-01-23,639,18,30
2,682,Mainland China,2020-01-24,916,26,36
3,683,Mainland China,2020-01-25,1399,42,39
4,684,Mainland China,2020-01-26,2062,56,49
5,685,Mainland China,2020-01-27,2863,82,58
6,686,Mainland China,2020-01-28,5494,131,101
7,687,Mainland China,2020-01-29,6070,133,120
8,688,Mainland China,2020-01-30,8124,171,135
9,689,Mainland China,2020-01-31,9783,213,214
10,690,Mainland China,2020-02-01,11871,259,275
11,691,Mainland China,2020-02-02,16607,361,463
12,692,Mainland China,2020-02-03,19693,425,614
13,693,Mainland China,2020-02-04,23680,490,843
14,694,Mainland China,2020-02-05,27409,562,1115
15,695,Mainland China,2020-02-06,30553,632,1476
16,696,Mainland China,2020-02-07,34075,717,1998
17,697,Mainland China,2020-02-08,36778,804,2595
18,698,Mainland China,2020-02-09,39790,904,3218
19,699,Mainland China,2020-02-10,42306,1011,3917
20,700,Mainland China,2020-02-11,44327,1111,4635
21,701,Mainland China,2020-02-12,44699,1116,5079
22,702,Mainland China,2020-02-13,59832,1368,6213
23,703,Mainland China,2020-02-14,66292,1520,7973
24,704,Mainland China,2020-02-15,68347,1662,9294
25,705,Mainland China,2020-02-16,70446,1765,10748
26,706,Mainland China,2020-02-17,72364,1863,12455
27,707,Mainland China,2020-02-18,74139,2002,14199
28,708,Mainland China,2020-02-19,74546,2114,15952
29,709,Mainland China,2020-02-20,74999,2236,18002
30,710,Mainland China,2020-02-21,75472,2236,18693
31,711,Mainland China,2020-02-22,76922,2441,22687
32,712,Mainland China,2020-02-23,76938,2443,23170
33,713,Mainland China,2020-02-24,77152,2593,24990
