,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
0,0.0,上海,24240000.0,0.0,0.0,0.0,31.6229,121.54409
4,0.0,云南,48300000.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
676,0.0,内蒙古,25340000.0,0.0,0.0,0.0,,
677,0.0,北京,21540000.0,0.0,0.0,0.0,40.45678,117.12141000000001
680,0.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
1379,0.0,四川,83410000.0,0.0,0.0,0.0,30.53237777777778,105.2965627777778
2252,0.0,天津,15600000.0,0.0,0.0,0.0,40.045770000000005,117.82478
2256,0.0,宁夏,6880000.0,0.0,0.0,0.0,,
2257,0.0,安徽,63240000.0,0.0,0.0,0.0,32.297855625000004,117.78378999999998
2962,0.0,山东,100470000.0,0.0,0.0,0.0,36.72984058823529,118.55807705882354
3735,0.0,山西,37180000.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
4525,0.0,广东,113460000.0,0.0,0.0,0.0,23.33513857142857,114.03101857142859
5223,0.0,广西,49260000.0,0.0,0.0,0.0,,
5224,0.0,新疆,24870000.0,0.0,0.0,0.0,,
5225,0.0,江苏,80510000.0,0.0,0.0,0.0,33.117227692307694,119.85052999999999
5932,0.0,江西,46480000.0,0.0,0.0,0.0,28.422473636363634,116.2816772727273
6563,0.0,河北,75560000.0,0.0,0.0,0.0,39.43456181818181,116.94264636363637
7292,0.0,河南,96049999.999,0.001,0.0,0.0,34.62354470588235,114.39410823529411
8098,0.0,浙江,57370000.0,0.0,0.0,0.0,30.10409363636364,120.86088727272727
8688,0.0,海南,9340000.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
9456,0.0,湖北,59169982.0,88.0,28.65,1.35,31.060170000000003,113.48653125000003
10252,0.0,湖南,68989999.999,0.001,0.0,0.0,28.16187230769231,112.56216384615384
10894,0.0,甘肃,26370000.0,0.0,0.0,0.0,37.30401,103.87728333333332
11754,0.0,福建,39410000.0,0.0,0.0,0.0,26.142049999999998,118.73027333333334
12349,0.0,西藏,3440000.0,0.0,0.0,0.0,,
12350,0.0,贵州,36000000.0,0.0,0.0,0.0,27.496083333333335,107.00552
12878,0.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
13653,0.0,重庆,31019999.999,0.001,0.0,0.0,31.947670000000002,109.8788
13656,0.0,陕西,38640000.0,0.0,0.0,0.0,35.282599000000005,109.596947
14451,0.0,青海,6030000.0,0.0,0.0,0.0,36.88553,102.31702999999999
14525,0.0,黑龙江,37730000.0,0.0,0.0,0.0,47.34939249999999,130.2335575
15343,1.0,上海,24239999.999,0.0,0.0,0.0,31.6229,121.54409
15347,1.0,云南,48300000.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
16019,1.0,内蒙古,25340000.0,0.0,0.0,0.0,,
16020,1.0,北京,21539999.999,0.001,0.0,0.0,40.45678,117.12141000000001
16023,1.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
16722,1.0,四川,83409999.999,0.001,0.0,0.0,30.53237777777778,105.2965627777778
17595,1.0,天津,15600000.0,0.0,0.0,0.0,40.045770000000005,117.82478
17599,1.0,宁夏,6879999.999,0.001,0.0,0.0,,
17600,1.0,安徽,63239999.999,0.001,0.0,0.0,32.297855625000004,117.78378999999998
18305,1.0,山东,100470000.0,0.0,0.0,0.0,36.72984058823529,118.55807705882354
19078,1.0,山西,37180000.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
19868,1.0,广东,113459999.999,0.001,0.0,0.0,23.33513857142857,114.03101857142859
20566,1.0,广西,49260000.0,0.0,0.0,0.0,,
20567,1.0,新疆,24870000.0,0.0,0.0,0.0,,
20568,1.0,江苏,80509999.999,0.001,0.0,0.0,33.117227692307694,119.85052999999999
21275,1.0,江西,46479999.998,0.002,0.0,0.0,28.422473636363634,116.2816772727273
21906,1.0,河北,75560000.0,0.0,0.0,0.0,39.43456181818181,116.94264636363637
22635,1.0,河南,96049999.996,0.004,0.0,0.0,34.62354470588235,114.39410823529411
23441,1.0,浙江,57369999.999,0.001,0.0,0.0,30.10409363636364,120.86088727272727
24031,1.0,海南,9340000.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
24799,1.0,湖北,59169959.078,93.322,42.382,5.218,31.060170000000003,113.48653125000003
25595,1.0,湖南,68989999.997,0.003,0.0,0.0,28.16187230769231,112.56216384615384
26237,1.0,甘肃,26370000.0,0.0,0.0,0.0,37.30401,103.87728333333332
27097,1.0,福建,39410000.0,0.0,0.0,0.0,26.142049999999998,118.73027333333334
27692,1.0,西藏,3440000.0,0.0,0.0,0.0,,
27693,1.0,贵州,36000000.0,0.0,0.0,0.0,27.496083333333335,107.00552
28221,1.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
28996,1.0,重庆,31019999.998,0.002,0.0,0.0,31.947670000000002,109.8788
28999,1.0,陕西,38639999.999,0.001,0.0,0.0,35.282599000000005,109.596947
