,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
0,0.0,上海,1.0,0.0,0.0,0.0,31.6229,121.54409
4,0.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
676,0.0,内蒙古,1.0,0.0,0.0,0.0,,
677,0.0,北京,1.0,0.0,0.0,0.0,40.45678,117.12141000000001
680,0.0,吉林,1.0,0.0,0.0,0.0,43.973112500000006,126.18114
1379,0.0,四川,1.0,0.0,0.0,0.0,30.53237777777778,105.2965627777778
2252,0.0,天津,1.0,0.0,0.0,0.0,40.045770000000005,117.82478
2256,0.0,宁夏,1.0,0.0,0.0,0.0,,
2257,0.0,安徽,1.0,0.0,0.0,0.0,32.297855625000004,117.78378999999998
2962,0.0,山东,1.0,0.0,0.0,0.0,36.72984058823529,118.55807705882354
3735,0.0,山西,1.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
4525,0.0,广东,1.0,0.0,0.0,0.0,23.33513857142857,114.03101857142859
5223,0.0,广西,1.0,0.0,0.0,0.0,,
5224,0.0,新疆,1.0,0.0,0.0,0.0,,
5225,0.0,江苏,1.0,0.0,0.0,0.0,33.117227692307694,119.85052999999999
5932,0.0,江西,1.0,0.0,0.0,0.0,28.422473636363634,116.2816772727273
6563,0.0,河北,1.0,0.0,0.0,0.0,39.43456181818181,116.94264636363637
7292,0.0,河南,1.0,0.0,0.0,0.0,34.62354470588235,114.39410823529411
8098,0.0,浙江,1.0,0.0,0.0,0.0,30.10409363636364,120.86088727272727
8688,0.0,海南,1.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
9456,0.0,湖北,1.0,0.0,0.0,0.0,31.060170000000003,113.48653125000003
10252,0.0,湖南,1.0,0.0,0.0,0.0,28.16187230769231,112.56216384615384
10894,0.0,甘肃,1.0,0.0,0.0,0.0,37.30401,103.87728333333332
11754,0.0,福建,1.0,0.0,0.0,0.0,26.142049999999998,118.73027333333334
12349,0.0,西藏,1.0,0.0,0.0,0.0,,
12350,0.0,贵州,1.0,0.0,0.0,0.0,27.496083333333335,107.00552
12878,0.0,辽宁,1.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
13653,0.0,重庆,1.0,0.0,0.0,0.0,31.947670000000002,109.8788
13656,0.0,陕西,1.0,0.0,0.0,0.0,35.282599000000005,109.596947
14451,0.0,青海,1.0,0.0,0.0,0.0,36.88553,102.31702999999999
14525,0.0,黑龙江,1.0,0.0,0.0,0.0,47.34939249999999,130.2335575
15343,1.0,上海,1.0,0.0,0.0,0.0,31.6229,121.54409
15347,1.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
16019,1.0,内蒙古,1.0,0.0,0.0,0.0,,
16020,1.0,北京,1.0,0.0,0.0,0.0,40.45678,117.12141000000001
16023,1.0,吉林,1.0,0.0,0.0,0.0,43.973112500000006,126.18114
16722,1.0,四川,1.0,0.0,0.0,0.0,30.53237777777778,105.2965627777778
17595,1.0,天津,1.0,0.0,0.0,0.0,40.045770000000005,117.82478
17599,1.0,宁夏,1.0,0.0,0.0,0.0,,
17600,1.0,安徽,1.0,0.0,0.0,0.0,32.297855625000004,117.78378999999998
18305,1.0,山东,1.0,0.0,0.0,0.0,36.72984058823529,118.55807705882354
19078,1.0,山西,1.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
19868,1.0,广东,1.0,0.0,0.0,0.0,23.33513857142857,114.03101857142859
20566,1.0,广西,1.0,0.0,0.0,0.0,,
20567,1.0,新疆,1.0,0.0,0.0,0.0,,
20568,1.0,江苏,1.0,0.0,0.0,0.0,33.117227692307694,119.85052999999999
21275,1.0,江西,1.0,0.0,0.0,0.0,28.422473636363634,116.2816772727273
21906,1.0,河北,1.0,0.0,0.0,0.0,39.43456181818181,116.94264636363637
22635,1.0,河南,1.0,0.0,0.0,0.0,34.62354470588235,114.39410823529411
23441,1.0,浙江,1.0,0.0,0.0,0.0,30.10409363636364,120.86088727272727
24031,1.0,海南,1.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
24799,1.0,湖北,1.0,0.0,0.0,0.0,31.060170000000003,113.48653125000003
25595,1.0,湖南,1.0,0.0,0.0,0.0,28.16187230769231,112.56216384615384
26237,1.0,甘肃,1.0,0.0,0.0,0.0,37.30401,103.87728333333332
27097,1.0,福建,1.0,0.0,0.0,0.0,26.142049999999998,118.73027333333334
27692,1.0,西藏,1.0,0.0,0.0,0.0,,
27693,1.0,贵州,1.0,0.0,0.0,0.0,27.496083333333335,107.00552
28221,1.0,辽宁,1.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
28996,1.0,重庆,1.0,0.0,0.0,0.0,31.947670000000002,109.8788
28999,1.0,陕西,1.0,0.0,0.0,0.0,35.282599000000005,109.596947
29794,1.0,青海,1.0,0.0,0.0,0.0,36.88553,102.31702999999999
29868,1.0,黑龙江,1.0,0.0,0.0,0.0,47.34939249999999,130.2335575
30686,2.0,上海,1.0,0.0,0.0,0.0,31.6229,121.54409
30690,2.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
31362,2.0,内蒙古,1.0,0.0,0.0,0.0,,
31363,2.0,北京,1.0,0.0,0.0,0.0,40.45678,117.12141000000001
