,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
0,0.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
1,1.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
2,2.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
3,3.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
4,4.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
5,5.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
6,6.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
7,7.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
8,8.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
9,9.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
10,10.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
11,11.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
12,12.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
13,13.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
14,14.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
15,15.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
16,16.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
17,17.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
18,18.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
19,19.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
20,20.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
21,21.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
22,22.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
23,23.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
24,24.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
25,25.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
26,26.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
27,27.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
28,28.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
29,29.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
30,30.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
31,31.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
32,32.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
33,33.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
34,34.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
35,35.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
36,36.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
37,37.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
38,38.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
39,39.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
40,40.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
41,41.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
42,42.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
43,43.0,云南,1.0,0.0,0.0,0.0,25.904379999999996,102.30507500000002
