,day,susceptics,exposed,infected,recover,province_y,province_en
0,0,24239999,0,0,0,上海市,Shanghai
1,0,48299999,0,0,0,云南省,Yunnan
2,0,25339999,0,0,0,内蒙古自治区,Inner Mongolia
3,0,21539999,0,0,0,北京市,Beijing
4,0,27039999,0,0,0,吉林省,Jilin
5,0,83409999,0,0,0,四川省,Sichuan
6,0,15599999,0,0,0,天津市,Tianjin
7,0,6879999,0,0,0,宁夏回族自治区,Ningxia
8,0,63239999,0,0,0,安徽省,Anhui
9,0,100469999,0,0,0,山东省,Shandong
10,0,37179999,0,0,0,山西省,Shanxi
11,0,113459999,0,0,0,广东省,Guangdong
12,0,49259999,0,0,0,广西壮族自治区,Guangxi
13,0,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
14,0,80509999,0,0,0,江苏省,Jiangsu
15,0,46479999,0,0,0,江西省,Jiangxi
16,0,75559999,0,0,0,河北省,Hebei
17,0,96049999,0,0,0,河南省,Henan
18,0,57369999,0,0,0,浙江省,Zhejiang
19,0,9339999,0,0,0,海南省,Hainan
20,0,59169998,0,0,0,湖北省,Hubei
21,0,68989999,0,0,0,湖南省,Hunan
22,0,26369999,0,0,0,甘肃省,Gansu
23,0,39409999,0,0,0,福建省,Fujian
24,0,3439999,0,0,0,西藏自治区,Tibet
25,0,35999999,0,0,0,贵州省,Guizhou
26,0,43589999,0,0,0,辽宁省,Liaoning
27,0,31019999,0,0,0,重庆声,Chongqing
28,0,38639999,0,0,0,陕西省,Shaanxi
29,0,6029999,0,0,0,青海省,Qinghai
30,0,37729999,0,0,0,黑龙江省,Heilongjiang
31,1,24239999,0,0,0,上海市,Shanghai
32,1,48299999,0,0,0,云南省,Yunnan
33,1,25339999,0,0,0,内蒙古自治区,Inner Mongolia
34,1,21539999,0,0,0,北京市,Beijing
35,1,27039999,0,0,0,吉林省,Jilin
36,1,83409999,0,0,0,四川省,Sichuan
37,1,15599999,0,0,0,天津市,Tianjin
38,1,6879999,0,0,0,宁夏回族自治区,Ningxia
39,1,63239999,0,0,0,安徽省,Anhui
40,1,100469999,0,0,0,山东省,Shandong
41,1,37179999,0,0,0,山西省,Shanxi
42,1,113459999,0,0,0,广东省,Guangdong
43,1,49259999,0,0,0,广西壮族自治区,Guangxi
44,1,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
45,1,80509999,0,0,0,江苏省,Jiangsu
46,1,46479999,0,0,0,江西省,Jiangxi
47,1,75559999,0,0,0,河北省,Hebei
48,1,96049999,0,0,0,河南省,Henan
49,1,57369999,0,0,0,浙江省,Zhejiang
50,1,9339999,0,0,0,海南省,Hainan
51,1,59169998,0,0,0,湖北省,Hubei
52,1,68989999,0,0,0,湖南省,Hunan
53,1,26369999,0,0,0,甘肃省,Gansu
54,1,39409999,0,0,0,福建省,Fujian
55,1,3439999,0,0,0,西藏自治区,Tibet
56,1,35999999,0,0,0,贵州省,Guizhou
57,1,43589999,0,0,0,辽宁省,Liaoning
58,1,31019999,0,0,0,重庆声,Chongqing
59,1,38639999,0,0,0,陕西省,Shaanxi
60,1,6029999,0,0,0,青海省,Qinghai
61,1,37729999,0,0,0,黑龙江省,Heilongjiang
62,2,24239999,0,0,0,上海市,Shanghai
63,2,48299999,0,0,0,云南省,Yunnan
64,2,25339999,0,0,0,内蒙古自治区,Inner Mongolia
65,2,21539999,0,0,0,北京市,Beijing
66,2,27039999,0,0,0,吉林省,Jilin
67,2,83409999,0,0,0,四川省,Sichuan
68,2,15599999,0,0,0,天津市,Tianjin
69,2,6879999,0,0,0,宁夏回族自治区,Ningxia
70,2,63239999,0,0,0,安徽省,Anhui
71,2,100469999,0,0,0,山东省,Shandong
72,2,37179999,0,0,0,山西省,Shanxi
73,2,113459999,0,0,0,广东省,Guangdong
74,2,49259999,0,0,0,广西壮族自治区,Guangxi
75,2,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
76,2,80509999,0,0,0,江苏省,Jiangsu
77,2,46479999,0,0,0,江西省,Jiangxi
78,2,75559999,0,0,0,河北省,Hebei
79,2,96049999,0,0,0,河南省,Henan
80,2,57369999,0,0,0,浙江省,Zhejiang
81,2,9339999,0,0,0,海南省,Hainan
82,2,59169998,1,0,0,湖北省,Hubei
83,2,68989999,0,0,0,湖南省,Hunan
84,2,26369999,0,0,0,甘肃省,Gansu
85,2,39409999,0,0,0,福建省,Fujian
86,2,3439999,0,0,0,西藏自治区,Tibet
87,2,35999999,0,0,0,贵州省,Guizhou
88,2,43589999,0,0,0,辽宁省,Liaoning
89,2,31019999,0,0,0,重庆声,Chongqing
90,2,38639999,0,0,0,陕西省,Shaanxi
91,2,6029999,0,0,0,青海省,Qinghai
92,2,37729999,0,0,0,黑龙江省,Heilongjiang
93,3,24239999,0,0,0,上海市,Shanghai
94,3,48299999,0,0,0,云南省,Yunnan
95,3,25339999,0,0,0,内蒙古自治区,Inner Mongolia
96,3,21539999,0,0,0,北京市,Beijing
97,3,27039999,0,0,0,吉林省,Jilin
98,3,83409999,0,0,0,四川省,Sichuan
99,3,15599999,0,0,0,天津市,Tianjin
100,3,6879999,0,0,0,宁夏回族自治区,Ningxia
101,3,63239999,0,0,0,安徽省,Anhui
102,3,100469999,0,0,0,山东省,Shandong
103,3,37179999,0,0,0,山西省,Shanxi
104,3,113459999,0,0,0,广东省,Guangdong
105,3,49259999,0,0,0,广西壮族自治区,Guangxi
106,3,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
107,3,80509999,0,0,0,江苏省,Jiangsu
108,3,46479999,0,0,0,江西省,Jiangxi
109,3,75559999,0,0,0,河北省,Hebei
110,3,96049999,0,0,0,河南省,Henan
111,3,57369999,0,0,0,浙江省,Zhejiang
112,3,9339999,0,0,0,海南省,Hainan
113,3,59169998,1,0,0,湖北省,Hubei
114,3,68989999,0,0,0,湖南省,Hunan
115,3,26369999,0,0,0,甘肃省,Gansu
116,3,39409999,0,0,0,福建省,Fujian
117,3,3439999,0,0,0,西藏自治区,Tibet
118,3,35999999,0,0,0,贵州省,Guizhou
119,3,43589999,0,0,0,辽宁省,Liaoning
120,3,31019999,0,0,0,重庆声,Chongqing
121,3,38639999,0,0,0,陕西省,Shaanxi
122,3,6029999,0,0,0,青海省,Qinghai
123,3,37729999,0,0,0,黑龙江省,Heilongjiang
124,4,24239999,0,0,0,上海市,Shanghai
125,4,48299999,0,0,0,云南省,Yunnan
126,4,25339999,0,0,0,内蒙古自治区,Inner Mongolia
127,4,21539999,0,0,0,北京市,Beijing
128,4,27039999,0,0,0,吉林省,Jilin
129,4,83409999,0,0,0,四川省,Sichuan
130,4,15599999,0,0,0,天津市,Tianjin
131,4,6879999,0,0,0,宁夏回族自治区,Ningxia
